TIME,SAMPLE_INDEX
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,0
35,1
36,2
37,3
38,4
39,5
40,6
41,7
42,8
43,9
44,10
45,11
46,12
47,13
48,14
49,15
50,16
51,17
52,18
53,19
54,20
55,21
56,22
57,23
58,24
59,25
60,26
61,27
62,28
63,29
64,30
65,31
66,32
67,33
68,0
69,1
70,2
71,3
72,4
73,5
74,6
75,7
76,8
77,9
78,10
79,11
80,12
81,13
82,14
83,15
84,16
85,17
86,18
87,19
88,20
89,21
90,22
91,23
92,24
93,25
94,26
95,27
96,28
97,29
98,30
99,31
100,32
101,33
102,0
103,1
104,2
105,3
106,4
107,5
108,6
109,7
110,8
111,9
112,10
113,11
114,12
115,13
116,14
117,15
118,16
119,17
120,18
121,19
122,20
123,21
124,22
125,23
126,24
127,25
128,26
129,27
130,28
131,29
132,30
133,31
134,32
135,33
136,0
137,1
138,2
139,3
140,4
141,5
142,6
143,7
144,8
145,9
146,10
147,11
148,12
149,13
150,14
151,15
152,16
153,17
154,18
155,19
156,20
157,21
158,22
159,23
160,24
161,25
162,26
163,27
164,28
165,29
166,30
167,31
168,32
169,33
170,0
171,1
172,2
173,3
174,4
175,5
176,6
177,7
178,8
179,9
180,10
181,11
182,12
183,13
184,14
185,15
186,16
187,17
188,18
189,19
190,20
191,21
192,22
193,23
194,24
195,25
196,26
197,27
198,28
199,29
200,30
201,31
202,32
203,33
204,0
205,1
206,2
207,3
208,4
209,5
210,6
211,7
212,8
213,9
214,10
215,11
216,12
217,13
218,14
219,15
220,16
221,17
222,18
223,19
224,20
225,21
226,22
227,23
228,24
229,25
230,26
231,27
232,28
233,29
234,30
235,31
236,32
237,33
238,0
239,1
240,2
241,3
242,4
243,5
244,6
245,7
246,8
247,9
248,10
249,11
250,12
251,13
252,14
253,15
254,16
255,17
256,18
257,19
258,20
259,21
260,22
261,23
262,24
263,25
264,26
265,27
266,28
267,29
268,30
269,31
270,32
271,33
272,0
273,1
274,2
275,3
276,4
277,5
278,6
279,7
280,8
281,9
282,10
283,11
284,12
285,13
286,14
287,15
288,16
289,17
290,18
291,19
292,20
293,21
294,22
295,23
296,24
297,25
298,26
299,27
300,28
301,29
302,30
303,31
304,32
305,33
306,0
307,1
308,2
309,3
310,4
311,5
312,6
313,7
314,8
315,9
316,10
317,11
318,12
319,13
320,14
321,15
322,16
323,17
324,18
325,19
326,20
327,21
328,22
329,23
330,24
331,25
332,26
333,27
334,28
335,29
336,30
337,31
338,32
339,33
340,0
341,1
342,2
343,3
344,4
345,5
346,6
347,7
348,8
349,9
350,10
351,11
352,12
353,13
354,14
355,15
356,16
357,17
358,18
359,19
360,20
361,21
362,22
363,23
364,24
365,25
366,26
367,27
368,28
369,29
370,30
371,31
372,32
373,33
374,0
375,1
376,2
377,3
378,4
379,5
380,6
381,7
382,8
383,9
384,10
385,11
386,12
387,13
388,14
389,15
390,16
391,17
392,18
393,19
394,20
395,21
396,22
397,23
398,24
399,25
400,26
401,27
402,28
403,29
404,30
405,31
406,32
407,33
408,0
409,1
410,2
411,3
412,4
413,5
414,6
415,7
416,8
417,9
418,10
419,11
420,12
421,13
422,14
423,15
424,16
425,17
426,18
427,19
428,20
429,21
430,22
431,23
432,24
433,25
434,26
435,27
436,28
437,29
438,30
439,31
440,32
441,33
442,0
443,1
444,2
445,3
446,4
447,5
448,6
449,7
