TIME,SAMPLE_INDEX
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,0
35,1
36,2
37,3
38,4
39,5
40,6
41,7
42,8
43,9
44,10
45,11
46,12
47,13
48,14
49,15
50,16
51,17
52,18
53,19
54,20
55,21
56,22
57,23
58,24
59,25
60,26
61,27
62,28
63,29
64,30
65,31
66,32
67,33
68,0
69,1
70,2
71,3
72,4
73,5
74,6
75,7
76,8
77,9
78,10
79,11
80,12
81,13
82,14
83,15
84,16
85,17
86,18
87,19
88,20
89,21
90,22
91,23
92,24
93,25
94,26
95,27
96,28
97,29
98,30
99,31
